"symbol","code","name","date"
"sh688612","688612","威迈斯","20250324"   
"sh688613","688613","奥精医疗","20250324" 
"sh688615","688615","合合信息","20250324" 
"sh688616","688616","西力科技","20250324" 
"sh688617","688617","惠泰医疗","20250324" 
"sh688618","688618","三旺通信","20250324" 
"sh688619","688619","罗普特","20250324"   
"sh688620","688620","安凯微","20250324"   
"sh688621","688621","阳光诺和","20250324" 
"sh688622","688622","禾信仪器","20250324" 
"sh688623","688623","双元科技","20250324" 
"sh688625","688625","呈和科技","20250324" 
"sh688626","688626","翔宇医疗","20250324" 
"sh688627","688627","精智达","20250324"   
"sh688628","688628","优利德","20250324"   
"sh688629","688629","华丰科技","20250324" 
"sh688630","688630","芯碁微装","20250324" 
"sh688631","688631","莱斯信息","20250324" 
"sh688633","688633","星球石墨","20250324" 
"sh688636","688636","智明达","20250324"   
"sh688638","688638","誉辰智能","20250324" 
"sh688639","688639","华恒生物","20250324" 
"sh688646","688646","逸飞激光","20250324" 
"sh688648","688648","中邮科技","20250324" 
"sh688651","688651","盛邦安全","20250324" 
"sh688652","688652","京仪装备","20250324" 
"sh688653","688653","康希通信","20250324" 
"sh688655","688655","迅捷兴","20250324"   
"sh688656","688656","浩欧博","20250324"   
"sh688657","688657","浩辰软件","20250324" 
"sh688658","688658","悦康药业","20250324" 
"sh688659","688659","元琛科技","20250324" 
"sh688660","688660","电气风电","20250324" 
"sh688661","688661","和林微纳","20250324" 
"sh688662","688662","富信科技","20250324" 
"sh688663","688663","新风光","20250324"   
"sh688665","688665","四方光电","20250324" 
"sh688667","688667","菱电电控","20250324" 
"sh688668","688668","鼎通科技","20250324" 
"sh688669","688669","聚石化学","20250324" 
"sh688670","688670","金迪克","20250324"   
"sh688671","688671","碧兴物联","20250324" 
"sh688676","688676","金盘科技","20250324" 
"sh688677","688677","海泰新光","20250324" 
"sh688678","688678","福立旺","20250324"   
"sh688679","688679","通源环境","20250324" 
"sh688680","688680","海优新材","20250324" 
"sh688681","688681","科汇股份","20250324" 
"sh688682","688682","霍莱沃","20250324"   
"sh688683","688683","莱尔科技","20250324" 
"sh688685","688685","迈信林","20250324"   
"sh688686","688686","奥普特","20250324"   
"sh688687","688687","凯因科技","20250324" 
"sh688689","688689","银河微电","20250324" 
"sh688690","688690","纳微科技","20250324" 
"sh688691","688691","灿芯股份","20250324" 
"sh688692","688692","达梦数据","20250324" 
"sh688693","688693","锴威特","20250324"   
"sh688695","688695","中创股份","20250324" 
"sh688696","688696","极米科技","20250324" 
"sh688697","688697","纽威数控","20250324" 
"sh688698","688698","伟创电气","20250324" 
"sh688699","688699","明微电子","20250324" 
"sh688700","688700","东威科技","20250324" 
"sh688701","688701","卓锦股份","20250324" 
"sh688702","688702","盛科通信","20250324" 
"sh688707","688707","振华新材","20250324" 
"sh688708","688708","佳驰科技","20250324" 
"sh688709","688709","成都华微","20250324" 
"sh688710","688710","益诺思","20250324"   
"sh688711","688711","宏微科技","20250324" 
"sh688716","688716","中研股份","20250324" 
"sh688717","688717","艾罗能源","20250324" 
"sh688718","688718","唯赛勃","20250324"   
"sh688719","688719","爱科赛博","20250324" 
"sh688720","688720","艾森股份","20250324" 
"sh688721","688721","龙图光罩","20250324" 
"sh688722","688722","同益中","20250324"   
"sh688726","688726","拉普拉斯","20250324" 
